vr_unbrain,vl_unbrain,prev_vl,prev_vr,vl_real,vr_real
-23.6203994876,-5.4836458715,-4.1912219449,-22.4360384344,-9.3697051207,0.0000000000
-15.3306904974,-7.3811601659,-5.4700186909,-23.5678499502,-20.2258745829,-5.4381330808
-7.1650378401,0.6366052577,-7.4558406420,-15.2509295414,-34.2110832532,-16.9113516808
-4.6662119165,2.8439548946,0.6918830197,-6.9363696420,-40.4172420502,0.0000000000
-8.3415994644,-1.1717284978,2.9522874055,-4.6939052327,-51.0312517484,8.7478607893
-11.5435476152,-0.8196085220,-1.0370600531,-8.2283363613,-50.9860595067,0.0000000000
-14.1191191896,8.0746784723,-1.1713538282,-11.4103427343,-39.3169085185,-18.2616571585
-15.5633400537,6.7738321139,7.9957895314,-14.2780338374,-48.4394788742,0.0000000000
-16.8247333164,5.5016118235,6.7403280666,-15.4644779250,-58.9629729589,-20.1244870822
-16.9418065822,5.3368972864,5.3564066897,-16.7041073796,-66.6666666667,-26.5371839205
-17.8934142027,4.0495244824,5.3564066897,-16.7041073796,-66.6666666667,-28.7770311038
-19.1820537166,2.7120513150,4.0009516448,-17.9128502255,-66.6666666667,-35.9305739403
-20.2412376896,1.2072261973,2.6586163356,-19.1115821015,-66.6666666667,-32.8529715538
-21.5029078714,0.0380117177,1.3257489250,-20.3109325847,-66.6666666667,-36.0276063283
-22.8362969978,-1.3668660519,0.0034573999,-21.5151804350,-66.6666666667,-56.1153531075
-24.1541437798,-2.6992677169,-1.3085725907,-22.7253828300,-66.6666666667,-48.1558084488
-25.1106845908,-4.0798071215,-2.6146662361,-23.9395335491,-66.6666666667,-62.0840708415
-26.3092679927,-5.2046481205,-3.9232040414,-25.1525706560,-66.6666666667,-66.6666666667
-28.6797572335,-7.8928454731,-5.2441137359,-26.3578446080,-66.6666666667,-66.6666666667
-29.7087525133,-8.9603589501,-7.9420413814,-28.7302276987,-66.6666666667,-66.6666666667
-31.0666749779,-10.7933960039,-9.3072334306,-29.9044854265,-66.6666666667,-66.6666666667
-32.2551584462,-11.8721217296,-10.6644059626,-31.0838864161,-66.6666666667,-66.6666666667
-33.4504625730,-13.4203485827,-12.0025899746,-32.2765983983,-66.6666666667,-66.6666666667
-33.5213064777,-13.2159350520,-13.3234292358,-33.4817431511,-66.6666666667,-66.6666666667
-34.6427546708,-14.6457932450,-13.3234292358,-33.4817431511,-66.6666666667,-66.6666666667
-35.8675587903,-16.0111276862,-14.6420592883,-34.6881399229,-66.6666666667,-66.6666666667
-36.9906711706,-17.2401334728,-15.9767095648,-35.8817157585,-66.6666666667,-66.6666666667
-38.2299749246,-18.6807166934,-17.3315649621,-37.0587266357,-66.6666666667,-65.4207030932
20.1429023072,39.4400882000,-18.6878636580,-38.2333169238,-66.6666666667,-60.9396696091
21.3457263061,40.5860438406,39.4286641504,20.0161634729,-66.6666666667,-62.5876625379
22.6405452427,41.7713282397,40.6558520626,21.3033303144,-66.6666666667,-52.8631925583
23.9253163524,42.9050099606,41.8985625419,22.5709839874,-66.6666666667,-62.8880063693
25.1490121490,44.2787843317,43.1216203310,23.8636309143,-53.7202080091,-53.4247279167
26.4989995504,45.5330801694,44.3037002274,25.2075989397,-53.5180211067,-37.3541355133
27.8475637657,46.5839892908,45.4619740285,26.5812714088,-33.4067384402,-26.8630544345
29.3064516272,47.8518432273,46.6332779727,27.9391412569,-26.5728592873,-13.3750706911
30.5083624061,49.1115848185,47.8306178582,29.2648677248,-28.2373944918,-7.1390082439
33.4644076640,41.9134943338,49.0300912681,30.5866649064,-23.9626844724,6.9812029600
25.4214410996,34.5032678068,41.7399090239,33.3951465113,-25.3558476766,0.0000000000
17.3431502842,26.7709904532,34.4483124191,25.3649488774,-38.0326986313,-16.5530443192
9.8544875989,19.0706455538,26.6845515990,17.3313137601,-57.7960729599,-25.1803855101
3.6500821147,12.9492321133,19.0825936031,10.0575515896,-63.3283178012,-29.1333953540
-2.1634075699,7.1531881189,12.7731692822,3.5484102280,-66.6666666667,-5.5156936248
-1.2433237065,7.9901920397,7.1455468967,-2.1284921063,-66.6666666667,-10.3068282207
1.8704480482,11.0369839432,7.9355847940,-1.3203766332,-66.6666666667,-7.1646039685
-1.9736183784,10.8702018594,11.1453057179,1.9158151068,-66.6666666667,0.0000000000
-6.1956005702,6.8972747900,10.9314726257,-2.0534845296,-66.6666666667,17.2216196855
-3.9488732630,10.5201674960,6.9119637899,-6.1081833895,-63.3648633957,13.2836401463
-2.0611040901,15.1101034142,10.7161931175,-4.0296432596,-60.6904268265,-10.4467729727
-10.7673356444,18.9995089945,15.1999337223,-1.9949672858,-13.1140967210,16.9779181480
-9.8612624173,20.1110159638,18.9256503203,-10.8312830709,-18.4736053149,0.0000000000
-8.5045768090,21.1563136328,20.0159167152,-9.7593640659,-11.7900957664,40.1858846347
-6.8453421363,21.3418890836,21.2661521909,-8.4209927206,3.9644276102,52.0193497340
-13.3914798033,16.5895409360,21.5177873610,-6.9058485873,20.4153895378,65.0509277980
-14.0384500461,15.9508856047,16.5499150778,-13.3257144645,0.0000000000,56.2685410182
-11.6263891409,18.8591512420,15.9507203608,-14.0046327017,9.6119413773,66.6666666667
-10.1517062724,21.1721820276,18.9713897647,-11.5976209934,29.6368281047,66.6666666667
-8.7699730934,22.4240759653,21.1063425970,-10.1078080386,14.2255753279,66.6666666667
-7.6804876157,23.6287930346,22.2949326851,-8.8204934491,-5.9380183617,66.6666666667
-6.1973302580,24.8535771044,23.4981795180,-7.5341740381,10.9761118889,66.6666666667
-7.4236878509,26.4306058726,24.7033974853,-6.2450343551,12.3814523220,66.6666666667
-6.1594308193,27.4471347543,26.2433396763,-7.5378109512,9.0395480394,66.6666666667
-4.9762101483,28.5661708042,27.4090167920,-6.2237680974,10.1120938857,66.6666666667
-3.4880950360,29.8320810542,28.5883479963,-4.8670395534,16.4948413769,66.6666666667
-2.1564460184,31.0550324255,29.7602235917,-3.5153860623,18.0912454923,66.6666666667
-0.9134584070,32.1287287067,30.9418501604,-2.1890491838,16.8099085490,66.6666666667
0.5828816001,33.2784286477,32.1439667829,-0.9003444951,16.8624401093,26.3387084007
1.6418470313,34.6492563480,33.3629139788,0.3598914096,20.0853248437,14.7323767344
3.6964892613,31.4429775591,34.5811112793,1.6229004682,22.7431893349,13.5905772448
-22.1769466462,-6.9154825483,31.4762414268,3.7448107249,31.6191871961,17.0938690503
-15.9601495210,-10.8795626029,-6.8843933859,-22.2903287097,15.1082704465,6.4106951157
-17.1709203731,-11.9790740696,-10.7250031531,-15.9038092285,26.5832245350,13.8208707174
-9.0077331939,-15.0254168374,-12.0855686779,-17.1112178417,16.6058679422,17.6143050194
-9.9618073009,-15.9702609457,-14.9553522499,-8.8577392450,10.8896046877,53.4576495488
-11.4620791216,-17.3264116884,-16.0776055065,-10.0795498157,23.1363058090,47.9186693827
-13.4512981809,-13.7708186574,-17.3142611176,-11.4385637299,6.2998026609,41.6640520096
-14.8932437686,-14.9444486033,-13.6250091757,-13.6242490788,20.0751423836,56.3634117444
-17.3892716455,-8.0396759691,-14.8756547224,-14.8778136999,20.0140893459,54.4213811556
-17.4085482982,-7.8623845725,-8.0262983974,-17.3503469281,15.5224452416,47.7109034856
-19.6619211238,-10.8641458528,-8.0262983974,-17.3503469281,11.9338174661,44.7922865550
-20.9363392139,-11.9515694314,-10.6463709600,-19.7348756635,26.2226939201,51.2569030126
-21.0588636604,-11.9878229292,-11.9776039591,-20.9492790668,27.0571231842,0.0000000000
-23.5348092957,-14.6257118563,-11.9776039591,-20.9492790668,18.3604061604,0.0000000000
-14.3514596760,-17.7344147365,-14.6333542879,-23.3573761787,21.0852265358,0.0000000000
-4.7030504743,-20.3702128908,-17.7225263885,-14.2112235975,18.3455348015,15.6539738178
0.3001083260,-22.9233306496,-20.3971242958,-4.8212276127,15.9531086683,-12.1213734150
-1.5882344620,-21.4512189217,-23.0758457041,0.3876311756,21.6434518496,0.0000000000
20.0322043238,-7.0509467307,-21.3849866029,-1.4737775660,35.5401595434,3.9964894454
21.1499340090,-6.1083385921,-7.1440868880,19.9785194369,16.0047660271,48.0118354162
22.1449365314,-5.0070047911,-6.2006449027,21.1058683712,12.7946992715,60.3404283524
18.7962995051,-2.6894512644,-4.9558789510,22.2721841076,11.6241941849,46.4315970739
14.9697693142,-0.5332284730,-2.7548053842,18.8260702868,13.0932996670,49.9418656031
13.5360473868,1.2842927847,-0.5173419882,14.9346167637,7.5138330460,53.0256549517
14.8871996088,2.5338829890,1.2955251589,13.6095728224,23.5302229722,63.7507955233
9.1432292367,5.1817243450,2.6369910542,14.8172796430,13.0638976892,52.9599944750
10.5134882226,6.4309203998,5.1635016380,9.1754662221,16.1119063695,57.1795264880
11.4732888525,7.9756813851,6.4633052094,10.3523184417,15.6359255314,25.8731245995
12.9457088626,9.2877958865,7.8098739327,11.5775990005,34.1536760330,20.0967530409
13.9555560383,10.6271325003,9.1416689207,12.7880842254,25.7228275140,21.7085878054
15.2163248226,11.9690452306,10.4681952430,13.9938776212,16.6194021702,24.6551156044
16.2611207093,13.1566678026,11.7934898676,15.1993962044,34.1474016507,8.6401134729
17.6460078207,14.4597710213,13.1177613000,16.4051647640,12.3458802700,13.5256151358
18.8007929002,15.7896165852,14.4409406013,17.6111787779,10.8996679386,60.4100306829
20.9557671326,10.5744159321,15.7640204693,18.8180823375,0.0000000000,42.6780700684
13.4826596864,13.7039753344,10.8336853269,20.9386611769,27.0680487156,57.6927105586
13.3361811695,14.8958784140,13.5634002748,13.4650920011,7.7527910471,49.2706259092
14.4846715325,16.2495080704,14.9184840854,13.2698763724,12.5211656094,66.6666666667
16.1038267242,17.2438282709,16.1464200744,14.6140809542,24.7459908326,31.0032208761
15.8447775004,18.6890158775,17.3674083299,15.9521639699,27.7286807696,45.3778028488
15.8137447094,18.7140579103,18.7748497278,15.8176516611,27.9935578505,53.7513732910
18.3992910921,21.2128788007,18.7748497278,15.8176516611,6.9825833042,63.8063033422
19.8764579350,22.4225079325,21.1753231992,18.4577758062,23.4403292338,0.0000000000
10.7464986074,25.2564021855,22.3812323063,19.7856401496,38.5978937149,10.2707465490
13.7198095319,15.9961635141,25.3400043060,10.7525756158,20.1890428861,13.7594670057
17.1148420486,11.3747944398,16.0099441516,13.6693824784,22.2858687242,11.8575652440
18.5032327766,12.6029086388,11.3271839346,17.2525427303,27.8268774350,0.0000000000
20.0008701799,13.9026809974,12.6876585864,18.5013997343,24.4427104791,0.0000000000
22.6231496433,5.0497761640,14.0302226847,19.7299790068,20.5565333366,0.0000000000
25.1374612409,-0.3395833430,5.0077761809,22.6892360359,25.5563457807,16.5541807810
23.9934486140,-0.4250839402,-0.2557006015,25.1294228520,7.7495624622,59.0901295344
25.2625705423,0.8726879202,-0.3958907006,24.0450930002,12.0050489902,61.4046931267
16.0959035573,4.0367856528,0.9524955176,25.2347888326,20.3524212042,62.7119263013
14.1384863791,5.9339082873,4.1248987353,16.0889401974,11.8986517191,66.6666666667
15.2950472011,7.3795504140,5.9416254671,14.0148762921,11.0504259666,66.6666666667
14.6917271197,8.9231834284,7.2951265720,15.2398279737,28.1310915947,63.5865847270
13.7707798652,10.6270904920,8.9992152483,14.5794840085,12.6668194930,66.6666666667
14.9810319850,12.2124835344,10.7181837279,13.6563970644,20.8146711191,26.5686968962
15.9680636776,13.3288430953,12.0368424474,14.8583299519,20.8286682765,46.3187297185
17.2926114539,14.8869450021,13.3668479018,16.0744200715,31.4493060112,17.9369091988
18.4050705985,16.0836796170,14.6897127006,17.2853189907,16.2244369586,27.1028518677
19.7385707666,17.3369814330,16.0102167429,18.4949982867,26.1014660199,31.0801764329
21.0920711805,18.6721524586,17.3305983537,19.7043528920,13.8743638992,35.2756261826
22.2456151126,19.9051642433,18.6518513455,20.9126840097,26.5885949135,25.4578173161
20.3380501718,21.7466210993,19.9749533116,22.1193300287,21.4674373468,30.1204741001
17.3233897235,23.6795854748,21.6727513722,20.4365710708,16.5098885695,28.1632622083
18.7411278659,24.5397556111,23.4985077481,17.2939512471,17.5027827422,31.1457117399
19.8741331449,25.7247375485,24.6839805351,18.6217188222,20.1132734617,66.1192695300
20.9004936110,27.1535311439,25.8934172755,19.9736128216,15.7775431871,53.7583351135
21.9978992545,28.4500683416,27.1654246177,20.8361295612,25.6068348885,53.5734176636
19.8664017862,30.0908156254,28.3789383750,22.0092245340,13.3872985840,51.6885995865
21.0233996676,31.2206320978,30.0543872224,19.8132159704,16.7950809002,46.7047731082
23.8425579113,33.8158760504,31.2576908803,21.1035794679,19.3199137847,60.9225352605
23.6931348293,33.7808271867,33.7004402016,23.7423720525,18.5371081034,43.1392987569
24.4542004164,36.2302733504,33.7004402016,23.7423720525,27.2958596547,35.3314876556
23.1638747324,38.0125604867,36.3688233665,24.3272015936,16.6716734568,3.6848592261
23.2641916150,39.2305514171,37.8614216841,23.2257661912,26.0995070140,0.0000000000
24.5203920464,40.6143943276,39.2321087185,23.2191382831,25.3235638142,4.7368486722
27.6461515139,31.1703667966,40.4289897847,24.5360732900,7.2520494461,0.0000000000
29.7949811278,21.3715755582,31.2047941738,27.6748013414,25.5830168724,-13.5367920001
21.2370724536,13.0942963475,21.3255522191,29.8571854561,33.4841211637,7.9345027606
13.1911119721,4.9233352235,13.1401497467,21.2261278351,24.1695642471,0.0000000000
6.4475681374,-1.4038661752,5.1543096312,13.1699438272,21.7821637789,0.0000000000
5.5329050734,-2.5299888715,-1.5417826819,6.4900377495,16.0022606452,-4.8051645358
8.9401200731,0.8156551590,-2.4964684222,5.5557814926,26.9619882107,3.3788231512
11.4382308414,-0.6603878255,0.8128560460,8.8724742354,13.1769398848,32.8978339831
6.8540463142,-4.8818486159,-0.6469782943,11.4292175668,17.4579362075,38.5454058647
7.6064379005,-3.9281448427,-4.8368630098,6.7374122060,25.1582304637,34.1172854106
9.5676242036,-0.4691761792,-3.8889574533,7.5285928997,22.1020738284,34.8064581553
10.9048040424,1.2360567034,-0.3866106322,9.5153116851,7.6953679323,24.8413622379
11.9596772581,2.4673346743,1.1757550109,10.8904361604,15.4912889004,35.2208654086
9.3197402850,4.3296459949,2.4920107280,12.0793368270,14.6297872066,28.6844372749
10.3967869694,5.8466547576,4.5027627394,9.3533616764,34.7062349319,9.9870224794
11.7277353705,7.0782867976,5.8164507641,10.5454543477,14.4361923138,0.0000000000
12.9059898373,8.5752753634,7.1522988013,11.7614341050,12.9285305738,12.9551271598
15.5464301401,0.8271393447,8.4795715637,12.9701336912,28.8642982642,15.6896084547
14.9114712715,2.4627871357,0.8456543956,15.5784594565,20.5144504706,19.5464650790
16.4307694735,3.7056851385,2.3740698378,15.0743372608,24.9711672465,26.5898605188
17.5134527897,5.0191812749,3.7107666777,16.3025456190,20.2697316806,12.3162915309
18.7197842222,6.5336115182,5.0423419953,17.5267457582,11.8819713593,38.3397221565
19.9507047474,7.8948744947,6.3647295043,18.7389762672,19.8037385941,42.2799865405
14.5174339700,10.0596108060,7.6867150032,19.9452321562,8.1181099017,53.4476717313
15.8160466887,11.4453128788,10.1337002218,14.6573398738,16.1987572908,43.0249412855
10.1196218876,13.9050254436,11.4338651666,15.8356146720,18.0733402570,54.0865341822
9.9970917185,15.0855684850,13.7467811372,10.1619935675,15.0963286559,52.0579576492
11.2447600656,16.3666131306,15.1248579316,9.9442303237,8.5010687510,55.5652499199
12.5136254346,17.4770165168,16.3397000307,11.2761790619,12.0631535848,39.1143679619
10.5168001143,19.3894119751,17.5572101387,12.6113324256,14.2174820105,24.6167878310
11.8303546060,20.3532921982,19.2052801466,10.6848149498,26.3467629751,17.0251647631
13.2959592477,21.7392252606,20.3918151201,11.9952154308,24.9989489714,17.5211052100
14.9539356489,21.2619243674,21.6022026646,13.3338437903,26.2800017993,33.6117227872
16.5448109324,21.5281167304,21.0790952178,14.9993326599,17.4969355265,0.0000000000
17.7682577388,22.8151084758,21.7226539892,16.4297465928,12.6440346241,33.7637503942
20.7413062921,13.8908137069,22.9198413993,17.7505850768,10.3546202183,27.2291441758
14.8627114177,16.9996836544,13.8121607428,20.7554777938,17.3579216003,35.0426713626
12.6055646799,18.8035523759,17.0740006083,14.8586671738,17.8378641605,40.5172904332
13.6541005697,19.9552236355,18.8102057647,12.5860212468,25.4271030426,43.9856251081
15.1889382402,21.2251316627,20.0413713968,13.9231475931,18.7970181306,30.1319241524
16.6906474485,22.3285460132,21.2697148671,15.2569107364,14.4677797953,25.0608742237
17.9208240396,23.5879334870,22.4844061023,16.5799397410,9.1860264540,-7.9966997107
18.4107820672,24.9127932573,23.6920902253,17.9025729000,11.7594470580,0.0000000000
18.1044717811,24.9192285369,25.0302038537,18.2829779263,14.0827675660,0.0000000000
4.3683791773,8.2771985998,25.0302038537,18.2829779263,19.0803070863,-3.7278306981
-1.2108964684,2.7163691814,8.2345165888,4.4152000042,18.9281026522,13.5924289624
0.8381171273,4.8240562768,2.6149667383,-1.2068598963,22.5346207619,3.7025297681
1.9079933380,5.9359540091,4.7407599356,0.9161854520,19.0700590611,29.3466448784
-0.0967182323,2.5933332656,5.9092484401,1.8331999702,39.1426523527,19.7472294172
6.1398053308,-3.6326356152,2.5765821567,-0.2864541720,22.5666940212,25.0880142053
8.5727623986,-1.5871877696,-3.5761904344,6.0447430053,30.9858540694,10.4956080516
9.9525585933,-0.4824160981,-1.5407219627,8.6857329538,20.7636614641,29.9709101518
10.8738938722,0.8189025270,-0.2872705008,9.8154155177,23.9889005820,20.1641122500
12.3162276544,2.3707802177,1.0274601950,11.0174699365,33.7372422218,26.6437411308
12.2414572144,2.4644452648,2.3481506989,12.2246182557,14.5910948515,22.1682667732
13.3014286636,3.6817366472,2.3481506989,12.2246182557,13.0055616299,23.1288750966
15.7903154596,6.2474668805,3.6708264311,13.4315674963,19.1992262999,28.6091923714
17.0924482559,7.7933903378,6.3234893556,15.8396892946,15.2827630440,11.1284077168
18.1572223788,8.9776947698,7.6546939782,17.0393327603,23.0675995350,18.9014712969
19.4145654086,10.2234184667,8.9896988449,18.2360743327,7.1449701985,8.0963914593
19.3482351760,10.2909870251,10.3273477424,19.4303840184,0.0000000000,6.0730050008
20.4856947947,11.4160857286,10.3273477424,19.4303840184,0.0000000000,0.0000000000
11.6359068372,11.9873290263,11.6653780031,20.6238750575,18.7520861626,0.0000000000
2.5478598704,6.6947306360,11.7659473288,11.5793909110,18.7740743160,11.9655907154
0.3341287175,0.3676832621,6.5769012812,2.5146364068,21.7144827048,-3.8147004942
1.4744690047,1.4608523133,0.3072652376,0.3071640872,27.7110258738,40.2539849281
4.7307921435,-4.5779677303,1.5135064176,1.5136576632,12.2115850449,28.3694803715
4.9863688171,-4.7633036065,-4.7322603770,4.9418875489,0.0000000000,19.7326024373
7.2540980654,-2.1786894800,-4.7322603770,4.9418875489,21.6781397661,26.4877835910
8.6163372600,-0.7324608800,-2.1042921247,7.3338292689,24.7748653094,21.8275229136
9.5916392089,0.4071144577,-0.7755136783,8.5464843091,17.7765707175,26.7974376678
10.7892205866,1.6448481107,0.5478663721,9.7549457200,0.0000000000,25.6535410881
12.1134706245,3.0802772426,1.8690971172,10.9630000172,26.5347043673,34.0412060420
3.1773126420,6.2354526593,3.1887092320,12.1715421139,21.8121548494,27.9671867688
4.3387525325,7.4871402231,6.2489711003,3.0540008204,19.1230754058,46.6079632441
5.4719254186,8.5959343840,7.3355055487,4.2415702461,26.2718419234,36.3749504089
6.9803811621,9.8348175535,8.5789226651,5.5993723989,8.2986086607,37.3556415240
8.2800657046,11.0136533221,9.7991289357,6.9337274593,11.5655253331,29.9960772196
8.1362609184,11.0963275812,11.0100063658,8.2583739688,13.7492577235,25.7039427757
10.9597657355,13.5372885635,11.0100063658,8.2583739688,14.7162298361,22.1407155196
10.8608706011,13.4434578891,13.4261506739,10.9016595611,0.0000000000,43.6836242676
13.5313757386,15.7812252817,13.4261506739,10.9016595611,6.2403271596,16.3260598977
13.5572075988,16.0198741729,15.8401352848,13.5459177809,-5.6534121434,-17.1024560928
4.4603532618,18.8449866139,15.8401352848,13.5459177809,0.0000000000,-21.3966528575
5.7054163066,19.2148231966,18.8494435293,4.4605533576,0.0000000000,-10.5808893840
-2.1181270346,11.1882294777,19.2065778220,5.7699164664,7.0567200581,-7.2967767715
-6.3323550675,6.7077094864,11.0327193484,-2.0561999631,17.5325910250,0.0000000000
3.5832320194,1.0969808723,6.7622913436,-6.3418441816,29.1055997213,9.3570480744
7.4805047016,-7.2653716184,1.1471832331,3.7710179875,21.7777152856,26.9733627637
8.9334596833,-5.8124421013,-7.2285991636,7.5338298087,18.5449977716,26.5273431937
10.0684188115,-4.4593080398,-5.7243392193,8.9325737659,15.6853338083,13.3655607700
11.4298649859,-3.0010139424,-4.4226233563,10.1083372075,13.3391718070,17.5562898318
12.3766938554,-1.8074767417,-3.0994257392,11.3048519990,16.4717197418,18.8591579596
13.6804134374,-0.4632763329,-1.7717451393,12.5043075823,9.9764277538,27.2349079450
15.0576187444,0.9385940460,-0.4429296750,13.7039207485,6.0839310288,30.3769866625
11.9212388182,3.0011895512,0.8857698331,14.9038268707,5.4434721669,23.2088545958
7.4325436362,5.2229333396,2.9479283657,11.9595483496,-12.7128233512,-7.3517640432
6.6320426584,6.9033894688,5.2530924343,7.3080948307,-5.0511201223,-3.4602150321
1.0189572174,1.4063681441,6.8676193692,6.6094474561,-4.0396099289,0.0000000000
1.2443063264,1.7508955034,1.3115261290,1.1137846094,8.6540490389,-3.6888028185
0.7681256008,4.4858730040,1.6187306855,1.3445330702,3.7789543470,0.0000000000
4.4619547362,-3.8252973725,4.5342752544,0.7004491860,12.1016055346,31.6711743673
4.4624087803,-3.0742406504,-3.8322667582,4.4197879020,4.3745438258,29.7425806522
4.2366384249,-2.9242392530,-2.9554284430,4.4162725874,5.2441135049,22.9910691579
5.2029266911,-0.1823843767,-2.9554284430,4.4162725874,23.4733641148,18.4642851353
6.2739073640,1.3474663357,-0.0139776955,5.2237004606,6.6619694233,31.1856150627
7.5441362373,2.7417706716,1.3317040865,6.2680932155,15.0040179491,31.1819275220
7.5719989836,2.8533713824,2.6543328896,7.4741326541,0.0000000000,13.1955434879
9.4168360659,5.4061650094,2.6543328896,7.4741326541,6.2806849678,12.1748904387
0.9597075057,8.3470617233,5.3917076727,9.3978418057,-9.6093595028,-7.7410310507
2.1573639290,9.3872170326,8.2348292683,1.0189466418,-12.3879830043,0.0000000000
2.3441069836,9.1793719011,9.3493999056,2.2223835231,0.0000000000,-8.4744900465
-2.1802439766,5.4564727014,9.3493999056,2.2223835231,0.0000000000,0.0000000000
1.5266158734,0.3567839736,5.2698440113,-2.0720189619,-4.7819286585,0.0000000000
-0.0129624614,0.0554714120,0.4185600924,1.7385161521,8.3797991276,-10.7565989097
0.0285561514,-0.0018384274,0.0106342321,0.0106525457,-8.0140322447,-10.2799127499
-0.3402228551,1.5494181085,0.0106342321,0.0106525457,0.0000000000,-9.1315855583
5.4336743698,-5.1641872687,1.3909909678,-0.2402540048,5.7046448191,7.8255002697
7.6043855463,-2.6196258016,-5.1816033784,5.2019821532,0.0000000000,21.5661982695
7.8422452837,-2.5228687318,-2.5708686222,7.6090497620,0.0000000000,21.1275418599
5.1673088706,-5.1812120855,-2.5708686222,7.6090497620,12.8245542447,15.0005002817
